Soil Parameters
STAS
19,1   'BB    DRYSMC    F11    MAXSMC  REFSMC   SATPSI  SATDK      SATDW    WLTSMC  QTZ   RSMC   VGN  VGSATP'
1,     4.05,  0.002,  -0.472,  0.395,  0.174,   0.286,  1.76E-4,  6.08E-6,  0.033,  0.92, 0.058, 3.19, 0.286, 'SAND'
2,     4.38,  0.035,  -1.044,  0.410,  0.179,   0.286,  1.56E-4,  5.14E-5,  0.055,  0.82, 0.074, 2.39, 0.286, 'LOAMY SAND'
3,     4.74,  0.047,  -0.569,  0.434,  0.312,   0.476,  5.23E-6,  8.05E-5,  0.047,  0.60, 0.067, 1.61, 0.476, 'SANDY LOAM'
4,     5.33,  0.084,   0.162,  0.476,  0.360,   0.759,  2.81E-6,  1.00E-5,  0.084,  0.25, 0.061, 1.39, 0.833, 'SILT LOAM'
5,     5.30,  0.034,   0.162,  0.485,  0.369,   0.786,  7.20E-6,  1.00E-5,  0.143,  0.10, 0.123, 1.53, 1.666, 'SILT'
6,     5.25,  0.066,  -0.327,  0.439,  0.329,   0.355,  3.38E-6,  1.43E-5,  0.066,  0.40, 0.083, 1.31, 0.400, 'LOAM'
7,     6.77,  0.069,  -1.491,  0.404,  0.315,   0.135,  4.45E-6,  1.01E-5,  0.069,  0.60, 0.086, 1.49, 0.303, 'SANDY CLAY LOAM'
8,     8.72,  0.120,  -1.118,  0.464,  0.387,   0.617,  2.03E-6,  2.35E-6,  0.120,  0.10, 0.098, 1.41, 0.370, 'SILTY CLAY LOAM'
9,     8.17,  0.103,  -1.297,  0.465,  0.382,   0.263,  2.45E-6,  5.00E-6,  0.103,  0.35, 0.129, 1.37, 0.333, 'CLAY LOAM'
10,   10.73,  0.100,  -3.209,  0.406,  0.338,   0.098,  7.22E-6,  1.00E-5,  0.100,  0.52, 0.080, 1.50, 0.333, 'SANDY CLAY'
11,   10.39,  0.126,  -1.916,  0.468,  0.404,   0.324,  1.34E-6,  1.00E-6,  0.126,  0.10, 0.163, 1.39, 0.435, 'SILTY CLAY'
12,   11.55,  0.138,  -2.138,  0.468,  0.412,   0.468,  9.74E-7,  1.00E-6,  0.138,  0.25, 0.102, 1.20, 0.476, 'CLAY'
13,    4.05,  0.002,  -0.472,  0.395,  0.174,   0.121,  1.76E-4,  6.08E-6,  0.033,  0.92, 0.058, 3.10, 0.286, 'ORGANIC'
14,     0.0,    0.0,     0.0,    1.0,    0.0,     0.0,      0.0,      0.0,    0.0,  0.60, 0.000, 0.00, 0.000, 'WATER'
15,    2.79,  0.006,  -1.111,  0.320,  0.174,   0.069,  1.41E-5,  1.36E-4,  0.006,  0.07, 0.038, 2.00, 0.069, 'BEDROCK'
16,    4.26,  0.028,  -1.044,  0.421,  0.283,   0.036,  1.41E-5,  5.14E-6,  0.028,  0.25, 0.074, 2.39, 0.286,  'OTHER(land-ice)'
17,   11.55,  0.030, -10.472,  0.468,  0.454,   0.468,  9.74E-7,  1.12E-5,  0.030,  0.60, 0.102, 1.20, 0.476, 'PLAYA'
18,    2.79,  0.006,  -0.472,  0.200,   0.17,   0.069,  1.41E-4,  1.36E-4,  0.006,  0.52, 0.058, 3.00, 0.286, 'LAVA'
19,    2.79,   0.01,  -0.472,  0.339,  0.192,   0.069,  4.66E-5,  2.65E-5,   0.01,  0.92, 0.058, 2.60, 0.286, 'WHITE SAND'

!12,   11.55,  0.138,  -2.138,  0.468,  0.412,   0.468,  9.74E-7,  1.12E-5,  0.138,  0.25, 0.102, 1.20, 0.476, 'CLAY'
!13,    5.25,  0.066,  -0.327,  0.439,  0.329,   0.355,  3.38E-6,  1.43E-5,  0.066,  0.05, 0.058, 2.00, 0.286, 'ORGANIC MATERIAL'
