STATION_NM	ID
MISSISSIPPI RIVER AT GRAND RAPIDS, MN	4836784
MARAIS DES CYGNES R NR READING, KS	10116766
 NEOSHO R AT BURLINGTON, KS	20890375
Arkansas River at Tulsa, OK	369211
Arkansas River at Ralston, OK	20969328
MILL CREEK NEAR CATARACT, IN	18465674
DISMAL RIVER NEAR THEDFORD, NE	17391613
SMOKY HILL R AT ENTERPRISE, KS	18887262
North Canadian River at Woodward, OK	388800
Missouri River at Omaha, NE	17219468
Red River at Spring Bank, AR	19950146
MISSISSIPPI RIVER AT VICKSBURG, MS	19266232
Mississippi River at Keokuk, IA	6966863
LONG PINE CREEK NEAR RIVERVIEW, NEBR.	16039510
Missouri River at Waverly, MO	4388401
TIMPAS CREEK AT MOUTH NEAR SWINK, CO.	975692
Canadian River near Whitefield, OK	512987
WHEELING CREEK AT ELM GROVE, WV	19452609
WABASH RIVER AT MONTEZUMA, IND.	10210063
WHITE RIVER AT NEWBERRY, IND.	18470962
GRANT RIVER AT BURTON, WI	13324626
Current River at Doniphan, MO	7523285
ST. CHARLES RIVER AT VINELAND, CO.	952325
N COTTONWOOD R BL MARION LK, KS	20919029
Neosho River near Chouteau, OK	21773127
Bayou Pierre near Lake End, LA	8343927
NORTH FORK CACHE LA POUDRE R. AT LIVERMORE, CO	2900581
Little Sioux River at Correctionville, IA	14624658
East Nishnabotna River at Red Oak, IA	19166807
Osage River near Bagnell, MO	5987533
Missouri River at Hermann, MO	6013072
Smith River bl Eagle Cr nr Fort Logan MT	12419159
Missouri River at Virgelle MT	12735448
SHOSHONE RIVER NEAR LOVELL, WY	940080052
Yellowstone River at Forsyth MT	13260207
LITTLE MISSOURI RIVER NR WATFORD CITY, ND	14469195
CANNONBALL RIVER AT BREIEN, ND	16203752
BAYOU DE CHIEN NEAR CLINTON, KY	14126587
LITTLE TALLAHATCHIE RIVER AT ETTA, MS	15288074
BOGUE PHALIA NR LELAND, MS	17963095
BAYOU DES CANNES NR EUNICE, LA	15140365
MISSISSIPPI RIVER AT AITKIN, MN	4853487
Iowa River near Rowan, IA	6570940
PECATONICA RIVER AT DARLINGTON, WI	13412928
KANKAKEE RIVER AT MOMENCE, IL	13438215
ILLINOIS RIVER AT HENRY, IL	14837877
Conewango Creek at Russell, PA	15445645
LITTLE KANAWHA RIVER AT PALESTINE, WV	19415571
WOLF CREEK NEAR NARROWS, VA	6908591
GREEN RIVER AT MUNFORDVILLE, KY	4001162
TIPPECANOE RIVER NEAR ORA, IN	18487750
WABASH RIVER AT RIVERTON IND	10288896
NOLICHUCKY RIVER AT EMBREEVILLE, TN	19487554
Mississippi River at Thebes, IL	5092616
